ENST00000335137.3	OR4F5	1	1	69090	70008	0.176329298	0.644086264	0.179584438
ENST00000342066.3	SAMD11	1	13	861321	879533	1.35E-10	0.183700006	0.816299993
ENST00000327044.6	NOC2L	1	19	880073	894620	1.33E-19	0.002562842	0.997437158
ENST00000338591.3	KLHL17	1	12	896073	900571	2.52E-07	0.7229136	0.277086148
ENST00000379410.3	PLEKHN1	1	16	901911	909955	2.02E-08	0.659994782	0.340005198
ENST00000428771.2	HES4	1	3	934438	935353	0.000147943	0.245981534	0.753870523
ENST00000379389.4	ISG15	1	2	948953	949858	0.009847813	0.600249313	0.389902874
ENST00000379370.2	AGRN	1	36	955552	990361	0.17335234	0.826647658	1.59E-09
ENST00000421241.2	C1orf159	1	8	1018272	1026923	0.090877636	0.76569141	0.143430953
ENST00000379290.1	TTLL10	1	13	1114595	1133227	1.95E-05	0.463280449	0.536700077
ENST00000328596.6	TNFRSF18	1	4	1138970	1141951	8.37E-07	0.089996444	0.91000272
ENST00000379236.3	TNFRSF4	1	7	1146934	1149507	0.00720933	0.767863756	0.224926914
ENST00000360001.6	SDF4	1	6	1152891	1164173	0.001309827	0.858724277	0.139965896
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	0.048104466	0.682101787	0.269793747
ENST00000330388.2	FAM132A	1	8	1177927	1182070	4.68E-05	0.416873507	0.58307973
ENST00000400930.4	UBE2J2	1	7	1190582	1203372	0.415938847	0.575988648	0.008072506
ENST00000379116.5	SCNN1D	1	18	1216041	1226990	2.82E-15	0.004782576	0.995217424
ENST00000354700.5	ACAP3	1	24	1228943	1243195	0.03943093	0.960288966	0.000280104
ENST00000379031.5	PUSL1	1	8	1244023	1246759	6.59E-12	0.004687471	0.995312529
ENST00000540437.1	CPSF3L	1	17	1247238	1257333	5.79E-09	0.846463748	0.153536247
ENST00000343938.4	GLTPD1	1	2	1262290	1263143	0.00138279	0.425815348	0.572801862
ENST00000378891.5	DVL1	1	15	1271521	1284445	0.157164972	0.842152651	0.000682378
ENST00000309212.6	MXRA8	1	10	1288983	1293884	0.004712972	0.965656663	0.029630365
ENST00000338370.3	AURKAIP1	1	3	1309180	1310136	0.002475388	0.544889583	0.452635029
ENST00000400809.3	CCNL2	1	11	1322610	1334686	0.104548195	0.895164136	0.000287669
ENST00000344843.7	MRPL20	1	4	1337462	1342597	0.000171803	0.691280354	0.308547843
ENST00000476993.1	VWA1	1	3	1371128	1375167	0.03319976	0.820841673	0.145958567
ENST00000378785.2	ATAD3C	1	12	1386063	1403910	4.91E-05	0.867306384	0.132644531
ENST00000308647.7	ATAD3B	1	16	1407264	1431197	1.92E-13	0.056353554	0.943646446
ENST00000378755.5	ATAD3A	1	16	1447648	1469452	0.040130598	0.959596763	0.000272639
ENST00000291386.3	SSU72	1	5	1477445	1509937	0.606848849	0.384485577	0.008665574
ENST00000505820.2	MIB2	1	20	1550839	1565910	0.000158543	0.998420185	0.001421272
ENST00000407249.3	CDK11B	1	21	1571125	1588935	0.72829444	0.271588478	0.000117082
ENST00000378662.1	SLC35E2B	1	8	1597220	1608138	0.621002459	0.346777066	0.032220474
ENST00000404249.3	CDK11A	1	19	1634345	1654257	5.24E-05	0.967976977	0.03197067
ENST00000246421.4	SLC35E2	1	5	1663893	1670996	0.374305908	0.578735512	0.04695858
ENST00000344463.4	NADK	1	13	1684342	1696845	0.00126769	0.990233969	0.008498342
ENST00000378609.4	GNB1	1	9	1718769	1756892	0.995187833	0.004811678	4.89E-07
ENST00000307786.3	CALML6	1	6	1846719	1848632	0.000127437	0.396237669	0.603634894
ENST00000310991.3	TMEM52	1	5	1849320	1850704	0.328693114	0.6075943	0.063712586
ENST00000378585.4	GABRD	1	9	1950862	1961721	0.923498878	0.076408513	9.26E-05
ENST00000378567.3	PRKCZ	1	18	1982069	2116448	0.266923657	0.732849005	0.000227338
ENST00000378546.4	C1orf86	1	4	2121147	2126188	0.785170903	0.208190039	0.006639058
ENST00000378536.4	SKI	1	7	2160205	2238204	0.9814021	0.018584501	1.34E-05
ENST00000378531.3	MORN1	1	14	2252821	2322972	7.88E-07	0.728750568	0.271248644
ENST00000605895.1	RER1	1	6	2327229	2334563	0.969239733	0.030713891	4.64E-05
ENST00000288774.3	PEX10	1	6	2337204	2343941	0.010463632	0.945302378	0.04423399
ENST00000449969.1	PLCH2	1	22	2399058	2435066	1.71E-08	0.841467316	0.158532667
ENST00000378466.3	PANK4	1	19	2440285	2458026	0.945333402	0.05466627	3.28E-07
ENST00000378453.3	HES5	1	3	2460907	2461603	0.532717162	0.407715442	0.059567396
ENST00000355716.4	TNFRSF14	1	8	2488103	2494712	0.819999054	0.179125821	0.000875124
ENST00000419916.2	FAM213B	1	7	2518234	2520866	0.0001667	0.447562931	0.55227037
ENST00000378412.3	MMEL1	1	23	2522428	2560923	8.88E-13	0.864055213	0.135944787
ENST00000378404.2	ACTRT2	1	1	2938250	2939384	0.018722461	0.730881456	0.250396084
ENST00000270722.5	PRDM16	1	17	2985823	3350375	0.999843194	0.000156806	4.75E-12
ENST00000378378.4	ARHGEF16	1	14	3379648	3397151	9.37E-08	0.510068048	0.489931858
ENST00000356575.4	MEGF6	1	37	3407091	3527832	4.42E-15	0.994620434	0.005379566
ENST00000378344.2	TPRG1L	1	5	3541636	3545167	0.002845285	0.803826308	0.193328407
ENST00000270708.7	WRAP73	1	12	3547538	3566563	0.02692199	0.970620428	0.002457581
ENST00000378295.4	TP73	1	13	3598929	3649643	0.975977778	0.024021188	1.03E-06
ENST00000294600.2	CCDC27	1	12	3669045	3688087	1.61E-19	0.000771688	0.999228312
ENST00000378251.1	LRRC47	1	7	3697651	3713040	0.603832188	0.394290079	0.001877733
ENST00000378230.3	CEP104	1	21	3731965	3768971	2.63E-08	0.998929779	0.001070194
ENST00000378209.3	DFFB	1	7	3774167	3800305	5.09E-05	0.668989031	0.330960107
ENST00000361605.3	C1orf174	1	4	3806523	3816750	0.018742502	0.897770945	0.083486552
ENST00000378191.4	AJAP1	1	5	4715485	4834559	0.977592767	0.022386032	2.12E-05
ENST00000378156.4	NPHP4	1	29	5923324	6046349	1.29E-17	0.420064566	0.579935434
ENST00000378083.3	KCNAB2	1	15	6111596	6158634	0.839972632	0.159897641	0.000129726
ENST00000262450.3	CHD5	1	41	6166339	6240083	0.999999995	4.88E-09	1.01E-23
ENST00000234875.4	RPL22	1	4	6246731	6259633	0.348492156	0.595685116	0.055822728
ENST00000377939.4	RNF207	1	17	6266595	6279467	5.19E-06	0.964183419	0.035811391
ENST00000343813.5	ICMT	1	5	6285139	6295971	0.959145428	0.040760771	9.38E-05
ENST00000377898.3	HES3	1	3	6304425	6305567	0.268868568	0.636078122	0.09505331
ENST00000377893.2	GPR153	1	5	6309397	6314965	0.000377954	0.621011134	0.378610912
ENST00000377855.2	ACOT7	1	9	6324656	6445726	0.381517902	0.616301742	0.002180357
